,lat.,long.,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
821,37.773854,-122.477838,1,rooftop,747,19th Ave,San Francisco,CA,San Francisco County,94121
822,37.804917,-122.442132,1,rooftop,3824,Scott St,San Francisco,CA,San Francisco County,94123
823,37.802411,-122.44334,1,rooftop,3544,Divisadero St,San Francisco,CA,San Francisco County,94123
824,37.779753,-122.482657,1,rooftop,415,23rd Ave,San Francisco,CA,San Francisco County,94121
825,37.7864,-122.3892,1,rooftop,501,Beale St,San Francisco,CA,San Francisco County,94105
826,37.77836,-122.48031,1,nearest_street,500,21st Ave,San Francisco,CA,San Francisco County,94121
827,37.763087,-122.398519,1,rooftop,251,Arkansas St,San Francisco,CA,San Francisco County,94107
828,37.755889,-122.389058,1,rooftop,2688,3rd St,San Francisco,CA,San Francisco County,94107
830,37.7856,-122.4358,1,rooftop,2161,Sutter St,San Francisco,CA,San Francisco County,94115
832,37.786106,-122.393908,1,rooftop,50,Lansing St,San Francisco,CA,San Francisco County,94105
834,37.797287,-122.415291,1,nearest_street,1,Glover St,San Francisco,CA,San Francisco County,94109
835,37.761747,-122.475924,1,nearest_street,1300,Judah St,San Francisco,CA,San Francisco County,94122
836,37.761747,-122.475924,1,nearest_street,1300,Judah St,San Francisco,CA,San Francisco County,94122
837,37.719,-122.4096,1,rooftop,893,Colby St,San Francisco,CA,San Francisco County,94134
838,37.7195,-122.4411,1,rooftop,20,Junior Ter,San Francisco,CA,San Francisco County,94112
839,37.736388,-122.428977,1,nearest_street,200,Mateo St,San Francisco,CA,San Francisco County,94131
840,37.7441,-122.4863,1,rooftop,2310,29th Ave,San Francisco,CA,San Francisco County,94116
841,37.7593,-122.4836,1,rooftop,2115,Kirkham St,San Francisco,CA,San Francisco County,94122
842,37.792252,-122.407513,1,nearest_street,781,California St,San Francisco,CA,San Francisco County,94108
843,37.775471,-122.502671,1,nearest_street,4100,Balboa St,San Francisco,CA,San Francisco County,94121
844,37.7593,-122.4836,1,rooftop,2115,Kirkham St,San Francisco,CA,San Francisco County,94122
846,37.756249,-122.419942,1,rooftop,39,Bartlett St,San Francisco,CA,San Francisco County,94110
847,37.795016,-122.436761,1,nearest_street,2800,Steiner St,San Francisco,CA,San Francisco County,94123
848,37.774305,-122.427174,1,rooftop,483,Oak St,San Francisco,CA,San Francisco County,94102
849,37.773554,-122.503609,1,nearest_street,800,43rd Ave,San Francisco,CA,San Francisco County,94121
850,37.8031,-122.425759,1,rooftop,1261,Francisco St,San Francisco,CA,San Francisco County,94123
851,37.787035,-122.456039,1,rooftop,3848,Sacramento St,San Francisco,CA,San Francisco County,94118
852,37.749711,-122.406997,1,rooftop,2810,26th St,San Francisco,CA,San Francisco County,94110
853,37.730624,-122.368035,0.99,rooftop,578,Hudson Ave,San Francisco,CA,San Francisco County,94124
854,37.729838,-122.400274,1,nearest_street,2500,Phelps St,San Francisco,CA,San Francisco County,94124
855,37.71964,-122.471652,1,nearest_street,1000,Garfield St,San Francisco,CA,San Francisco County,94132
856,37.773547,-122.409718,1,rooftop,350,8th St,San Francisco,CA,San Francisco County,94103
857,37.791017,-122.399149,1,nearest_street,501,Market St,San Francisco,CA,San Francisco County,94105
858,37.78742,-122.393124,1,rooftop,338,Fremont St,San Francisco,CA,San Francisco County,94105
859,37.912849,-122.342265,1,rooftop,215,Marina Lakes Dr,Richmond,CA,Contra Costa County,94804
860,37.735307,-122.423422,1,rooftop,67,Crescent Ave,San Francisco,CA,San Francisco County,94110
870,37.801506,-122.423236,1,rooftop,1305,Lombard St,San Francisco,CA,San Francisco County,94109
871,37.787254,-122.424075,1,rooftop,1440,Sutter St,San Francisco,CA,San Francisco County,94109
872,37.778346,-122.435079,1,rooftop,1398,McAllister St,San Francisco,CA,San Francisco County,94115
873,37.772525,-122.427158,1,nearest_street,300,Haight St,San Francisco,CA,San Francisco County,94102
874,37.777507,-122.433085,1,rooftop,898,Steiner St,San Francisco,CA,San Francisco County,94117
875,37.77089,-122.42514,1,rooftop,1896,Market St,San Francisco,CA,San Francisco County,94102
876,37.77089,-122.42514,1,rooftop,1896,Market St,San Francisco,CA,San Francisco County,94102
877,37.790836,-122.408925,1,rooftop,655,Powell St,San Francisco,CA,San Francisco County,94108
878,37.791205,-122.40806,1,nearest_street,722,Pine St,San Francisco,CA,San Francisco County,94108
879,37.752393,-122.425264,1,rooftop,1074,Dolores St,San Francisco,CA,San Francisco County,94114
881,37.716788,-122.475918,1,nearest_street,300,Gonzalez Dr,San Francisco,CA,San Francisco County,94132
882,37.76289,-122.428509,1,nearest_street,3700,17th St,San Francisco,CA,San Francisco County,94114
883,37.761188,-122.43003,1,rooftop,3876,18th St,San Francisco,CA,San Francisco County,94114
884,37.804917,-122.442132,1,rooftop,3824,Scott St,San Francisco,CA,San Francisco County,94123
885,37.794991,-122.407168,1,rooftop,833,Washington St,San Francisco,CA,San Francisco County,94108
886,37.771804,-122.426621,1,rooftop,200,Buchanan St,San Francisco,CA,San Francisco County,94102
887,37.737551,-122.425111,1,nearest_street,16,Highland Ave,San Francisco,CA,San Francisco County,94110
888,37.716788,-122.475918,1,nearest_street,300,Gonzalez Dr,San Francisco,CA,San Francisco County,94132
890,37.7725,-122.4147,1,rooftop,245,11th St,San Francisco,CA,San Francisco County,94103
891,37.760358,-122.464981,1,nearest_street,1500,8th Ave,San Francisco,CA,San Francisco County,94122
892,37.802559,-122.407521,1,rooftop,475,Greenwich St,San Francisco,CA,San Francisco County,94133
897,37.792204,-122.415377,1,rooftop,1362,Sacramento St,San Francisco,CA,San Francisco County,94109
898,37.715011,-122.472991,1,nearest_street,101,Font Blvd,San Francisco,CA,San Francisco County,94132
899,37.791456,-122.392342,1,rooftop,88,Howard St,San Francisco,CA,San Francisco County,94105
900,37.782383,-122.460136,1,rooftop,321,2nd Ave,San Francisco,CA,San Francisco County,94118
902,37.791859,-122.425177,1,rooftop,1945,Clay St,San Francisco,CA,San Francisco County,94109
903,37.778992,-122.461166,1,rooftop,509,3rd Ave,San Francisco,CA,San Francisco County,94118
904,37.782383,-122.460136,1,rooftop,321,2nd Ave,San Francisco,CA,San Francisco County,94118
905,37.75364,-122.466658,1,rooftop,1852,10th Ave,San Francisco,CA,San Francisco County,94122
906,37.75364,-122.466658,1,rooftop,1852,10th Ave,San Francisco,CA,San Francisco County,94122
907,37.794458,-122.426045,1,rooftop,1885,Pacific Ave,San Francisco,CA,San Francisco County,94109
908,37.770675,-122.449203,1,rooftop,1705,Page St,San Francisco,CA,San Francisco County,94117
909,37.796797,-122.398211,1,rooftop,440,Davis Ct,San Francisco,CA,San Francisco County,94111
910,37.719823,-122.462253,1,rooftop,582,Orizaba Ave,San Francisco,CA,San Francisco County,94112
911,37.7441,-122.4863,1,rooftop,2310,29th Ave,San Francisco,CA,San Francisco County,94116
913,37.787321,-122.431108,1,rooftop,2056,Bush St,San Francisco,CA,San Francisco County,94115
914,37.742655,-122.486413,1,rooftop,2394,29th Ave,San Francisco,CA,San Francisco County,94116
915,37.793428,-122.26913,1,rooftop,202,Madison St,Oakland,CA,Alameda County,94607
918,37.785248,-122.439873,1,nearest_street,1700,Divisadero St,San Francisco,CA,San Francisco County,94115
919,37.761582,-122.438056,1,rooftop,2645,Market St,San Francisco,CA,San Francisco County,94114
920,37.789952,-122.425616,1,nearest_street,1900,California St,San Francisco,CA,San Francisco County,94109
923,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
927,37.781031,-122.42044,1,nearest_street,600,Van Ness Ave,San Francisco,CA,San Francisco County,94102
928,37.789457,-122.444119,1,nearest_street,2000,Baker St,San Francisco,CA,San Francisco County,94115
930,37.761691,-122.39188,1,rooftop,690,Indiana St,San Francisco,CA,San Francisco County,94107
932,37.762575,-122.44602,1,rooftop,350,Upper Ter,San Francisco,CA,San Francisco County,94117
933,37.77727,-122.411388,1,rooftop,664,Natoma St,San Francisco,CA,San Francisco County,94103
937,37.787295,-122.392719,1,rooftop,350,Fremont St,San Francisco,CA,San Francisco County,94105
938,37.787703,-122.391971,1,rooftop,388,Beale St,San Francisco,CA,San Francisco County,94105
939,37.775048,-122.449638,1,rooftop,21,Clayton St,San Francisco,CA,San Francisco County,94117
942,37.776036,-122.499486,1,rooftop,683,39th Ave,San Francisco,CA,San Francisco County,94121
943,37.794895,-122.429989,1,nearest_street,2000,Broadway St,San Francisco,CA,San Francisco County,94115
944,37.762614,-122.445947,1,rooftop,360,Upper Ter,San Francisco,CA,San Francisco County,94117
945,37.773906,-122.413938,1,rooftop,239,10th St,San Francisco,CA,San Francisco County,94103
946,37.784994,-122.464572,1,nearest_street,4301,California St,San Francisco,CA,San Francisco County,94118
947,37.779924,-122.492816,1,rooftop,6838,Geary Blvd,San Francisco,CA,San Francisco County,94121
948,37.789529,-122.413728,1,nearest_street,1000,Bush St,San Francisco,CA,San Francisco County,94109
949,37.772649,-122.415002,1,nearest_street,239,11th St,San Francisco,CA,San Francisco County,94103
950,37.8048,-122.420805,1,rooftop,822,Bay St,San Francisco,CA,San Francisco County,94109
951,37.741585,-122.4472,1,rooftop,27,Encline Ct,San Francisco,CA,San Francisco County,94127
952,37.786413,-122.403274,1,rooftop,50,3rd St,San Francisco,CA,San Francisco County,94103
953,37.770675,-122.449203,1,rooftop,1705,Page St,San Francisco,CA,San Francisco County,94117
954,37.753642,-122.411993,1,rooftop,2731,Harrison St,San Francisco,CA,San Francisco County,94110
955,37.792217,-122.429447,1,nearest_street,2200,Washington St,San Francisco,CA,San Francisco County,94115
956,37.789568,-122.413425,1,rooftop,850,Jones St,San Francisco,CA,San Francisco County,94109
957,37.792217,-122.429447,1,nearest_street,2200,Washington St,San Francisco,CA,San Francisco County,94115
958,37.8002,-122.4091,1,rooftop,1560,Stockton St,San Francisco,CA,San Francisco County,94133
960,37.800638,-122.407584,1,nearest_street,1500,Grant Ave,San Francisco,CA,San Francisco County,94133
961,37.8002,-122.4091,1,rooftop,1560,Stockton St,San Francisco,CA,San Francisco County,94133
965,37.771804,-122.426621,1,rooftop,200,Buchanan St,San Francisco,CA,San Francisco County,94102
966,37.763689,-122.474241,1,rooftop,1500,Irving St,San Francisco,CA,San Francisco County,94122
967,37.793444,-122.416201,1,rooftop,1314,Leavenworth St,San Francisco,CA,San Francisco County,94109
970,37.717665,-122.440107,1,nearest_street,5051,Mission St,San Francisco,CA,San Francisco County,94112
971,37.797603,-122.435594,1,rooftop,3038,Fillmore St,San Francisco,CA,San Francisco County,94123
972,37.756988,-122.419689,1,nearest_street,3225,21st St,San Francisco,CA,San Francisco County,94110
973,37.717866,-122.440359,1,rooftop,33,Seneca Ave,San Francisco,CA,San Francisco County,94112
982,37.803601,-122.444419,1,rooftop,2149,Beach St,San Francisco,CA,San Francisco County,94123
990,37.783641,-122.47854,1,rooftop,226,19th Ave,San Francisco,CA,San Francisco County,94121
1008,37.770008,-122.446934,1,nearest_street,600,Ashbury St,San Francisco,CA,San Francisco County,94117
1009,37.77541,-122.46298,1,rooftop,703,5th Ave,San Francisco,CA,San Francisco County,94118
1010,37.77541,-122.46298,1,rooftop,703,5th Ave,San Francisco,CA,San Francisco County,94118
1011,37.764311,-122.454217,1,nearest_street,1400,Willard St,San Francisco,CA,San Francisco County,94117
1015,37.772108,-122.430434,1,nearest_street,300,Fillmore St,San Francisco,CA,San Francisco County,94117
1016,37.794243,-122.42817,1,rooftop,2000,Pacific Ave,San Francisco,CA,San Francisco County,94109
1018,37.780321,-122.493346,1,rooftop,472,33rd Ave,San Francisco,CA,San Francisco County,94121
1022,37.749391,-122.427628,1,rooftop,112,Clipper St,San Francisco,CA,San Francisco County,94114
1023,37.803969,-122.435031,1,rooftop,1690,N Point St,San Francisco,CA,San Francisco County,94123
1028,37.789046,-122.417541,1,rooftop,1209,Bush St,San Francisco,CA,San Francisco County,94109
1029,37.789046,-122.417541,1,rooftop,1209,Bush St,San Francisco,CA,San Francisco County,94109
1030,37.739869,-122.424147,1,nearest_street,5,Randall St,San Francisco,CA,San Francisco County,94131
1031,37.787335,-122.463662,1,rooftop,66,5th Ave,San Francisco,CA,San Francisco County,94118
1035,37.749374,-122.427649,1,rooftop,112,Clipper St,San Francisco,CA,San Francisco County,94114
1037,37.723347,-122.399652,1,rooftop,449,Paul Ave,San Francisco,CA,San Francisco County,94124
1038,37.769362,-122.450901,1,rooftop,1715,Haight St,San Francisco,CA,San Francisco County,94117
1039,37.78518,-122.435781,1,rooftop,2000,Post St,San Francisco,CA,San Francisco County,94115
1040,37.77253,-122.39312,1,rooftop,690,Long Bridge St,San Francisco,CA,San Francisco County,94158
1043,37.77526,-122.424388,1,rooftop,331,Octavia St,San Francisco,CA,San Francisco County,94102
1046,37.789422,-122.437319,1,nearest_street,2100,Pierce St,San Francisco,CA,San Francisco County,94115
1047,37.757903,-122.466958,1,rooftop,1617,10th Ave,San Francisco,CA,San Francisco County,94122
1053,37.769428,-122.403979,1,nearest_street,2,Division St,San Francisco,CA,San Francisco County,94103
1056,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1057,37.780917,-122.399457,1,rooftop,788,Harrison St,San Francisco,CA,San Francisco County,94107
1058,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1060,37.780917,-122.399457,1,rooftop,788,Harrison St,San Francisco,CA,San Francisco County,94107
1062,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1064,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1067,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1069,37.787295,-122.392719,1,rooftop,350,Fremont St,San Francisco,CA,San Francisco County,94105
1076,37.787295,-122.392719,1,rooftop,350,Fremont St,San Francisco,CA,San Francisco County,94105
1077,37.752242,-122.444618,1,rooftop,38,Gardenside Dr,San Francisco,CA,San Francisco County,94131
1079,37.769428,-122.403979,1,nearest_street,2,Division St,San Francisco,CA,San Francisco County,94103
1083,37.75954,-122.462864,1,rooftop,3,Locksley Ave,San Francisco,CA,San Francisco County,94122
1085,37.787836,-122.393396,1,rooftop,353,Folsom St,San Francisco,CA,San Francisco County,94105
1086,37.7694,-122.3867,1,rooftop,550,Terry A Francois Blvd,San Francisco,CA,San Francisco County,94158
1087,37.7694,-122.3867,1,rooftop,550,Terry A Francois Blvd,San Francisco,CA,San Francisco County,94158
1088,37.75029,-122.434216,1,rooftop,1400,Castro St,San Francisco,CA,San Francisco County,94114
1089,37.766726,-122.438291,1,nearest_street,144,Buena Vista Ter,San Francisco,CA,San Francisco County,94117
1093,37.7195,-122.4411,1,rooftop,20,Junior Ter,San Francisco,CA,San Francisco County,94112
1094,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1095,37.7694,-122.3867,1,rooftop,550,Terry A Francois Blvd,San Francisco,CA,San Francisco County,94158
1098,37.7864,-122.3892,1,rooftop,501,Beale St,San Francisco,CA,San Francisco County,94105
1099,37.745296,-122.440088,1,nearest_street,5200,Diamond Heights Blvd,San Francisco,CA,San Francisco County,94131
1102,37.77351,-122.409599,1,rooftop,350,8th St,San Francisco,CA,San Francisco County,94103
1104,37.796014,-122.430385,1,rooftop,2000,Vallejo St,San Francisco,CA,San Francisco County,94123
1105,37.7917,-122.4186,1,rooftop,1577,Sacramento St,San Francisco,CA,San Francisco County,94109
1106,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1107,37.781111,-122.462139,1,nearest_street,4000,Geary Blvd,San Francisco,CA,San Francisco County,94118
1109,37.788845,-122.419161,1,rooftop,1300,Bush St,San Francisco,CA,San Francisco County,94109
1113,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1114,37.78983,-122.418843,1,nearest_street,1300,Larkin St,San Francisco,CA,San Francisco County,94109
1115,37.769239,-122.420247,1,rooftop,1742,Mission St,San Francisco,CA,San Francisco County,94103
1116,37.772721,-122.391183,1,rooftop,1201,4th St,San Francisco,CA,San Francisco County,94158
1117,37.748362,-122.429346,1,nearest_street,4000,26th St,San Francisco,CA,San Francisco County,94131
1119,37.790459,-122.429092,1,nearest_street,2200,Sacramento St,San Francisco,CA,San Francisco County,94115
1120,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1122,37.721206,-122.483023,1,nearest_street,2,Vidal Dr,San Francisco,CA,San Francisco County,94132
1124,37.723347,-122.399652,1,rooftop,449,Paul Ave,San Francisco,CA,San Francisco County,94124
1128,37.785209,-122.417505,1,rooftop,784,Ofarrell St,San Francisco,CA,San Francisco County,94109
1129,37.753939,-122.440914,1,rooftop,2,Hoffman Ave,San Francisco,CA,San Francisco County,94114
1130,37.787424,-122.421154,1,rooftop,1285,Sutter St,San Francisco,CA,San Francisco County,94109
1132,37.77208,-122.445717,1,nearest_street,1000,Masonic Ave,San Francisco,CA,San Francisco County,94117
1135,37.787424,-122.421154,1,rooftop,1285,Sutter St,San Francisco,CA,San Francisco County,94109
1137,37.757754,-122.393133,1,rooftop,699,Pennsylvania Ave,San Francisco,CA,San Francisco County,94107
1139,37.793428,-122.26913,1,rooftop,202,Madison St,Oakland,CA,Alameda County,94607
1141,37.780917,-122.399457,1,rooftop,788,Harrison St,San Francisco,CA,San Francisco County,94107
1142,37.780917,-122.399457,1,rooftop,788,Harrison St,San Francisco,CA,San Francisco County,94107
1144,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1145,37.763529,-122.474016,1,rooftop,1301,16th Ave,San Francisco,CA,San Francisco County,94122
1146,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1148,37.792507,-122.408767,1,rooftop,105,Miles St,San Francisco,CA,San Francisco County,94108
1149,37.75124,-122.425032,1,rooftop,1149,Dolores St,San Francisco,CA,San Francisco County,94110
1150,37.776541,-122.417501,1,nearest_street,1401,Market St,San Francisco,CA,San Francisco County,94103
1151,37.754571,-122.401589,1,nearest_street,2200,23rd St,San Francisco,CA,San Francisco County,94107
1154,37.744352,-122.488678,1,nearest_street,2000,Santiago St,San Francisco,CA,San Francisco County,94116
1157,37.783785,-122.39893,1,nearest_street,300,3rd St,San Francisco,CA,San Francisco County,94107
1160,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1161,37.791927,-122.414209,1,rooftop,1111,Jones St,San Francisco,CA,San Francisco County,94109
1163,37.796272,-122.426893,1,nearest_street,2500,Gough St,San Francisco,CA,San Francisco County,94123
1166,37.791456,-122.392342,1,rooftop,88,Howard St,San Francisco,CA,San Francisco County,94105
1167,37.771887,-122.423334,1,rooftop,8,Valencia St,San Francisco,CA,San Francisco County,94103
1168,37.773644,-122.434128,1,rooftop,402,Pierce St,San Francisco,CA,San Francisco County,94117
1171,37.771887,-122.423334,1,rooftop,8,Valencia St,San Francisco,CA,San Francisco County,94103
1172,37.7813,-122.4167,1,rooftop,391,Golden Gate Ave,San Francisco,CA,San Francisco County,94102
1174,37.724625,-122.395926,1,rooftop,5880,3rd St,San Francisco,CA,San Francisco County,94124
1176,37.773083,-122.391187,1,rooftop,590,Mission Rock St,San Francisco,CA,San Francisco County,94158
1177,37.758343,-122.438207,1,rooftop,238,Eureka St,San Francisco,CA,San Francisco County,94114
1184,37.776619,-122.417402,1,rooftop,1415,Market St,San Francisco,CA,San Francisco County,94103
1185,37.716788,-122.475918,1,nearest_street,300,Gonzalez Dr,San Francisco,CA,San Francisco County,94132
1187,37.805786,-122.44221,1,nearest_street,501,Marina Blvd,San Francisco,CA,San Francisco County,94123
1190,37.771804,-122.426621,1,rooftop,200,Buchanan St,San Francisco,CA,San Francisco County,94102
1194,37.744352,-122.453012,1,rooftop,691,Portola Dr,San Francisco,CA,San Francisco County,94127
1195,37.784764,-122.390431,1,rooftop,501,Delancey St,San Francisco,CA,San Francisco County,94107
1196,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1197,37.7725,-122.4147,1,rooftop,245,11th St,San Francisco,CA,San Francisco County,94103
1198,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1199,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1201,37.796933,-122.429774,1,rooftop,1868,Green St,San Francisco,CA,San Francisco County,94123
1202,37.718571,-122.484778,1,nearest_street,300,Vidal Dr,San Francisco,CA,San Francisco County,94132
1204,37.794966,-122.429216,1,rooftop,1955,Broadway,San Francisco,CA,San Francisco County,94109
1205,37.794576,-122.425869,1,rooftop,1870,Pacific Ave,San Francisco,CA,San Francisco County,94109
1206,37.762166,-122.4646,1,rooftop,225,Judah St,San Francisco,CA,San Francisco County,94122
1209,37.776541,-122.417501,1,nearest_street,1401,Market St,San Francisco,CA,San Francisco County,94103
1210,37.805291,-122.435632,1,rooftop,3739,Webster St,San Francisco,CA,San Francisco County,94123
1211,37.782457,-122.475236,1,nearest_street,1500,Clement St,San Francisco,CA,San Francisco County,94118
1213,37.791727,-122.447112,1,rooftop,3193,Pacific Ave,San Francisco,CA,San Francisco County,94115
1214,37.773083,-122.391187,1,rooftop,590,Mission Rock St,San Francisco,CA,San Francisco County,94158
1216,37.761324,-122.38864,1,rooftop,2230,3rd St,San Francisco,CA,San Francisco County,94107
1217,37.761809,-122.391944,1,rooftop,690,Indiana St,San Francisco,CA,San Francisco County,94107
1218,37.7712,-122.4413,1,rooftop,1146,Haight St,San Francisco,CA,San Francisco County,94117
1219,37.774277,-122.43594,1,nearest_street,1100,Fell St,San Francisco,CA,San Francisco County,94117
1220,37.803569,-122.435416,1,rooftop,1701,N Point St,San Francisco,CA,San Francisco County,94123
1222,37.749892,-122.479312,1,rooftop,2022,22nd Ave,San Francisco,CA,San Francisco County,94116
1223,37.718119,-122.474484,1,nearest_street,42,Cambon Dr,San Francisco,CA,San Francisco County,94132
1224,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1225,37.749923,-122.479312,1,rooftop,2014,22nd Ave,San Francisco,CA,San Francisco County,94116
1226,37.795435,-122.433469,1,nearest_street,2700,Webster St,San Francisco,CA,San Francisco County,94123
1228,37.761617,-122.422955,1,nearest_street,3561,18th St,San Francisco,CA,San Francisco County,94110
1231,37.75983,-122.42592,1,nearest_street,3700,19th St,San Francisco,CA,San Francisco County,94114
1232,37.7309,-122.3886,1,rooftop,1516,Revere Ave,San Francisco,CA,San Francisco County,94124
1233,37.80422,-122.439526,1,rooftop,106,Cervantes Blvd,San Francisco,CA,San Francisco County,94123
1234,37.784612,-122.390174,1,rooftop,501,Delancey St,San Francisco,CA,San Francisco County,94107
1236,37.787137,-122.396691,1,nearest_street,22,Tehama St,San Francisco,CA,San Francisco County,94105
1239,37.723837,-122.455916,1,rooftop,1299,Ocean Ave,San Francisco,CA,San Francisco County,94112
1240,37.723837,-122.455916,1,rooftop,1299,Ocean Ave,San Francisco,CA,San Francisco County,94112
1243,37.772721,-122.391183,1,rooftop,1201,4th St,San Francisco,CA,San Francisco County,94158
1244,37.755423,-122.432254,1,nearest_street,850,Noe St,San Francisco,CA,San Francisco County,94114
1245,37.752104,-122.420665,1,nearest_street,3400,24th St,San Francisco,CA,San Francisco County,94110
1246,37.780365,-122.505198,1,rooftop,455,44th Ave,San Francisco,CA,San Francisco County,94121
1247,37.763496,-122.418484,1,nearest_street,3250,17th St,San Francisco,CA,San Francisco County,94110
1250,37.793223,-122.41447,1,nearest_street,1300,Clay St,San Francisco,CA,San Francisco County,94109
